Karauli,December,508,427,465,
Kota,January,318,291,242,265
Kota,February,310,193,186,167
Kota,March,270,291,195,212
Kota,April,271,188,162,485
Kota,May,305,279,253,613
Kota,June,239,356,193,
Kota,July,233,198,152,
Kota,August,264,210,193,
Kota,September,331,243,337,
Kota,October,268,239,214,
Kota,November,298,222,246,
Kota,December,349,293,266,
Nagaur,January,1141,969,1076,1013
Nagaur,February,1049,945,944,730
Nagaur,March,1030,833,832,900
Nagaur,April,946,792,972,1501
Nagaur,May,1009,839,1179,2419
Nagaur,June,971,1120,1043,
Nagaur,July,779,734,908,
Nagaur,August,662,784,927,
Nagaur,September,619,842,844,
Nagaur,October,756,768,969,
Nagaur,November,881,833,1170,
Nagaur,December,1093,1038,1407,
Pali,January,716,761,738,627
Pali,February,626,643,618,569
Pali,March,692,652,504,488
Pali,April,705,615,658,1247
Pali,May,712,637,497,2423
Pali,June,539,870,503,
Pali,July,515,619,544,
Pali,August,583,594,557,
Pali,September,602,729,708,
Pali,October,643,639,691,
Pali,November,620,612,651,
Pali,December,850,697,875,
Pratapgarh,January,254,247,264,242
Pratapgarh,February,171,198,222,170
Pratapgarh,March,256,192,203,174
Pratapgarh,April,193,196,224,255
Pratapgarh,May,232,187,227,781
Pratapgarh,June,218,190,179,
Pratapgarh,July,184,199,210,
Pratapgarh,August,211,265,240,
Pratapgarh,September,203,304,279,
Pratapgarh,October,236,252,220,
Pratapgarh,November,222,260,259,
Pratapgarh,December,244,281,297,
Rajsamand,January,507,515,593,537
Rajsamand,February,529,461,507,377
Rajsamand,March,467,455,420,443
Rajsamand,April,434,434,419,843
Rajsamand,May,560,438,515,1465
Rajsamand,June,397,482,432,
Rajsamand,July,394,348,455,
Rajsamand,August,465,465,595,
Rajsamand,September,482,540,552,
Rajsamand,October,436,525,504,
Rajsamand,November,466,453,520,
Rajsamand,December,482,554,566,
Sawai Madhopur,January,435,393,422,366
Sawai Madhopur,February,379,363,377,302
Sawai Madhopur,March,395,351,370,309
Sawai Madhopur,April,356,341,365,502
Sawai Madhopur,May,445,405,457,982
Sawai Madhopur,June,371,442,379,
Sawai Madhopur,July,363,321,359,
Sawai Madhopur,August,387,381,360,
Sawai Madhopur,September,369,412,378,
Sawai Madhopur,October,392,377,367,
Sawai Madhopur,November,421,383,455,
Sawai Madhopur,December,490,449,448,
Sikar,January,708,677,675,640
Sikar,February,587,547,544,495
Sikar,March,567,494,555,565
Sikar,April,565,589,540,781
Sikar,May,597,579,678,1660
Sikar,June,594,722,591,
Sikar,July,494,481,536,
Sikar,August,453,513,572,
Sikar,September,445,557,715,
Sikar,October,547,514,617,
Sikar,November,614,579,806,
Sikar,December,762,714,741,
Sirohi,January,344,356,330,336
Sirohi,February,354,293,288,239
Sirohi,March,375,271,310,276
Sirohi,April,308,247,264,632
Sirohi,May,345,259,278,561
Sirohi,June,218,340,282,
Sirohi,July,276,347,233,
Sirohi,August,363,396,359,
Sirohi,September,303,381,298,
Sirohi,October,280,327,289,
Sirohi,November,272,331,334,
Sirohi,December,414,350,329,
Sri Ganganagar,January,763,734,865,702
Sri Ganganagar,February,552,652,646,538
Sri Ganganagar,March,562,631,589,538
Sri Ganganagar,April,540,532,574,701
Sri Ganganagar,May,562,554,631,1302
Sri Ganganagar,June,588,561,737,
Sri Ganganagar,July,553,626,728,
Sri Ganganagar,August,590,539,631,
Sri Ganganagar,September,509,545,649,
Sri Ganganagar,October,539,562,646,
Sri Ganganagar,November,604,601,842,
Sri Ganganagar,December,704,760,766,
Tonk,January,462,386,460,375
